Repeat	AW146154	Gm13051	Gm13139	Gm13150	Gm13152	Gm13154	Gm13157	Gm13225	Gm13251	Gm14295	Gm14399	Gm14401	Gm14419	Gm14420	Gm14443	Gm21082	Gm30910	Gm4631	Gm8893	LOC102	Rex2	Zfp273	Zfp429	Zfp456	Zfp457	Zfp458	Zfp46	Zfp493	Zfp534	Zfp58	Zfp595	Zfp599	Zfp600	Zfp617	Zfp661	Zfp712	Zfp738	Zfp759	Zfp808	Zfp810	Zfp874a	Zfp874b	Zfp882	Zfp92	Zfp931	Zfp935	Zfp938	Zfp953	Zfp961
RLTR13C2	1	1	1	1	3.98E-33	1	1	1	1	1	1	3.86E-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR13D1	1	1	1	1	4.83E-156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.35E-61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR13D6	1	1	1	1	1.82E-141	1	1	1	1	1	1	0.00935396	1	1	1	1	1	1	1	7.81E-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR25A	1	1	1	0.396972747	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.76E-12	1	1	1	0.745393559	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR25B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.44E-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR3_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.52E-07
RLTR45-int	1	5.38E-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.17E-61	1	1	1	1	1	1	1	1	1	1.28E-62
RLTR45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.11E-22
RLTR9D	1	1	1	1	1	2.76E-25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.112755244	1	1	1	0.002911029	1	1	1	1	1	1	1	1	1
RLTR9E	1	1	1	1	1	2.61E-253	1	1	1	1	1	2.10E-16	1	1	1	1	1	1	1	1.33E-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.54E-12
RLTRETN_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.93E-175
RMER16-int	1	1	8.83E-272	1	1	1	1	1	1.92E-12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000878398	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
RMER19B	1	1	1	1	1	3.76E-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0028693	1	1	1	1	1	1	1	1	1	1	1	1
RMER19C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.01E-199	2.19E-08	1	1	1	1	1	1	1
RMER3D-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.22E-109	1	1	1	1	1	1	1	1	1	1	1
RMER6A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.31E-12	1	1
RMER6C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.22E-34	1	1
RMER10A	1	1	1	1	1	1	1	1	3.24E-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MamGypLTR3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.43E-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MTA_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.08E-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MTC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.02E-43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MTE2a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.49E-08	1	1	1	1	1	1	1	1	1	1	1	1	1
MTE2b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.71E-06	1	1	1	1	1	1	1	1	1	1	1	1	1
