Repeat	AW146154	Gm13051	Gm13139	Gm13150	Gm13152	Gm13154	Gm13157	Gm13225	Gm13251	Gm14295	Gm14399	Gm14401	Gm14419	Gm14420	Gm14443	Gm21082	Gm30910	Gm4631	Gm8893	LOC102	Rex2	Zfp273	Zfp429	Zfp456	Zfp457	Zfp458	Zfp46	Zfp493	Zfp534	Zfp58	Zfp595	Zfp599	Zfp600	Zfp617	Zfp661	Zfp712	Zfp738	Zfp759	Zfp808	Zfp810	Zfp874a	Zfp874b	Zfp882	Zfp92	Zfp931	Zfp935	Zfp938	Zfp953	Zfp961
LTR:ERVK:RLTR25B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.4441933e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:RLTR3_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.51531526577181e-07
LTR:ERVK:RLTR45-int	1	5.3765274676259e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.17392580117647e-61	1	1	1	1	1	1	1	1	1	1.277077984e-62
LTR:ERVK:RLTR45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.11217577777778e-22
LTR:ERVK:RLTR9D	1	1	1	1	1	2.76285854634146e-25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.112755244110672	1	1	1	0.002911028848	1	1	1	1	1	1	1	1	1
LTR:ERVK:RLTR9E	1	1	1	1	1	2.61388603411765e-253	1	1	1	1	1	2.09651345046729e-16	1	1	1	1	1	1	1	1.3255215037037e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.53972270588235e-12
LTR:ERVK:RLTRETN_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.93202875478261e-175
LTR:ERVK:RMER16-int	1	1	8.8332881e-272	1	1	1	1	1	1.92128895929204e-12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000878397785416667	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:RMER19B	1	1	1	1	1	3.75897110708661e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00286929959899497	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:RMER19C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.011212203e-199	2.18698069859155e-08	1	1	1	1	1	1	1
LTR:ERVK:RMER3D-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.21838423777778e-109	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:RMER6A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.31454805172414e-12	1	1
LTR:ERVK:RMER6C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.22081685277778e-34	1	1
LTR:ERVL:RMER10A	1	1	1	1	1	1	1	1	3.24293358360656e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:Gypsy:MamGypLTR3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.4345867572327e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:MTA_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.07521835909091e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:MTC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.02013781290323e-43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:MTE2a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.48703946575343e-08	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:MTE2b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.70807568484848e-06	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:MTEa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.68170913157895e-12	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:MTEb	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.37849903333333e-06	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1A0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.666000183333333	1	2.25667480606061e-117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1A1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00606515435406699	1	2.701246275e-89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1A2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.02377667480916e-09	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1A3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.01358966666667e-90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1A4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.61027086086957e-37	1	1.99296640540541e-33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1B1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.00848512727273e-177	1	1.08066725709091e-55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1B2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.0713885e-62	1	6.91155888888889e-12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1C1	1	1	1	1	1	1	1	0.559623188012618	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.43031434e-34	1	6.99035191891892e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1C2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.19583996481481e-16	1	2.10823616455696e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1D1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.20853943783784e-104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:MaLR:ORR1D2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.44280386715328e-09	1	1	1	1	1	1	1	0.654888571686747	1	1	1	1	1	1
Low_complexity:Low_complexity:CT-rich	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.24020790693069e-18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.7327571675e-27	1	1	1	1	1	1	1	1	1
Low_complexity:Low_complexity:GA-rich	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.4933809257732e-19	1	1	1	1	1	1	1	1	0.298413266666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.257978e-09	1	1	1	1	1	1	1	1	1
Low_complexity:Low_complexity:GC_rich	1	1	1	1	6.773878384e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(ACTG)n	1	1	1	1	1	1	1	1.93338527682119e-07	1	0.98944213575419	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
